PRUID,provEN,provFR,age,ageloCI,agehiCI,year,yearloCI,yearhiCI,month,monthloCI,monthhiCI,hirisk,hiriskloCI,hiriskhiCI
1,Canada,Canada,13.4,13.3,13.5,44.1,40.1,48.2,27.4,24.1,30.7,23.4,21.1,25.8
10,NewfoundlandandLabrador,Terre-Neuve-et-Labrador,13.5,13.4,13.6,47.6,45.5,49.6,32.2,30.2,34.2,29.0,27.5,30.5
11,PrinceEdwardIsland,Île-du-Prince-Édouard,13.5,13.4,13.7,43.0,39.0,46.9,27.8,24.0,31.5,27.4,23.0,31.8
12,NovaScotia,Nouvelle-Écosse,13.4,13.3,13.6,41.2,38.5,43.8,24.7,22.1,27.2,24.8,22.7,27.0
13,NewBrunswick,Nouveau-Brunswick,13.5,13.4,13.6,48.8,46.8,50.8,31.9,29.7,34.2,31.2,29.1,33.2
24,Quebec,Québec,13.1,13.0,13.2,53.1,49.7,56.6,36.0,31.7,40.4,27.2,24.6,29.7
35,Ontario,Ontario,13.7,13.5,14.0,39.4,30.5,48.4,22.6,15.4,29.9,18.6,13.8,23.5
46,Manitoba,Manitoba,13.5,13.3,13.7,40.7,33.4,48.0,24.6,17.5,31.6,23.4,17.2,29.6
47,Saskatchewan,Saskatchewan,13.1,12.9,13.2,56.1,52.2,60.0,36.9,33.1,47.7,36.8,34.1,39.6
48,Alberta,Alberta,13.3,13.1,13.5,38.6,33.9,43.3,23.1,18.4,27.7,20.8,15.8,25.8
59,BritishColumbia,Colombie-Britannique,13.3,13.1,13.4,50.2,46.9,53.5,33.1,29.3,36.8,31.3,28.1,34.5
